url,title,description,timestamp,status_code,content_length,depth
https://amazon.com,,,1774270708.358771,202,0,0
https://apple.com,Apple,Meet the latest iPhone lineup.,1774270708.3600051,200,234974,0
https://linkedin.com,LinkedIn: Log In or Sign Up,"1 billion members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities.",1774270708.35962,200,143712,0
https://youtube.com,YouTube,"Enjoy the videos and music that you love, upload original content and share it all with friends, family and the world on YouTube.",1774270708.3573465,200,693924,0
https://instagram.com,Instagram,,1774270708.3594139,200,785205,0
https://microsoft.com,"Your request has been blocked. This could be
                        due to several reasons.",,1774270708.3598013,200,201252,0
https://support.xbox.com,Xbox Support,,1774270712.0883446,200,1280,2
https://www.icloud.com,iCloud,"Log in to iCloud to access your photos, mail, notes, documents and more. Sign in with your Apple Account or create a new account to start using Apple services.",1774270711.1444008,200,30948,1
http://www.bing.com/,Search - Microsoft Bing,"Search with Microsoft Bing and use the power of AI to find information, explore webpages, images, videos, maps, and more. A smart search engine for the forever curious.",1774270712.090524,200,153682,2
https://www.msn.com/,MSN,,1774270712.0952682,200,52438,2
https://support.google.com/youtube/topic/2676339?ref_topic=6151248&sjid=3522198452893595691-NC,Copyright and rights management - YouTube Help,,1774270712.465291,200,1189000,2
http://sway.office.com?WT.mc_id=O16_BingHP&utm_source=O16Bing&utm_medium=Nav&utm_campaign=HP,"Microsoft Sway | Create visually striking newsletters, presentations, and documentation in minutes","Create and share interactive reports, presentations, personal stories, and more. Sway is an easy-to-use digital storytelling app for creating interactive reports, presentations, personal stories and more. Its built-in design engine helps you create professional designs in minutes. With Sway, your images, text, videos, and other multimedia all flow together in a way that enhances your story. Sway makes sure your creations look great on any screen.",1774270714.4305816,200,116041,3
https://blog.google/innovation-and-ai/technology/safety-security/safer-internet-day-2026-kids-teens/,Helping kids and teens learn and grow online on Safer Internet Day,"We’re sharing our latest updates designed to support families, kids and teens in the digital world.",1774270711.9772367,200,377294,2
https://blog.youtube/inside-youtube/protecting-teens-in-the-digital-world-not-from-the-digital-world/,"Protecting teens in the digital world, not from the digital world
            
          
           - YouTube Blog",Inside YouTube,1774270711.9775252,200,109473,2
https://www.sarahmadeiraday.com/,Sarah Madeira Day,"Original Landscape Paintings and prints. Contemporary and abstract art and home decor. Wall art, large canvas prints, fine art, homegoods",1774270715.3540523,200,426122,4
https://aka.ms/VisualStudio_Twitch,Twitch,"The official Twitch home for Microsoft Visual Studio, Developer Languages, and Tools.",1774270724.7343855,200,186742,4
https://www.typescriptlang.org/,TypeScript: JavaScript With Syntax For Types.,TypeScript extends JavaScript by adding types to the language. TypeScript speeds up your development experience by catching errors and providing fixes before you even run your code.,1774270722.6035526,200,259233,2
https://knowledge.carolina.com/professional-growth/ngss/what-are-phenomena/,Phenomena,"In nature, phenomena are considered observable events we can use science to explain or predict. We offer tips on how phenomena can guide your teaching.",1774270715.3680809,200,341771,4
https://www.onlinesos.org/,OnlineSOS,"After nine years of supporting people facing online abuse, OnlineSOS is proud to join forces with PEN America to expand access to resources and support for people around the world.",1774270727.6772366,200,143804,5
https://www.forrester.com/policies/tei/,Forrester Methodologies: Total Economic Impact,Forrester’s Total Economic Impact™ (TEI) consulting practice develops business value justification analysis to help organizations understand the financial impact of a technology investment. Forrester helps both business technology consumers build fin,1774270716.2228093,200,125823,3
https://vuejs.org/,Vue.js - The Progressive JavaScript Framework | Vue.js,Vue.js - The Progressive JavaScript Framework,1774270729.3493614,200,82962,3
